origin,origin_code,diaspora_1990,diaspora_2010,diaspora_2024
World,900,153916063,221020392,304021813
Sub-Saharan Africa,1834,14124662,18243295,30661610
Northern Africa and Western Asia,1833,14986109,25429492,40529326
Central and Southern Asia,1831,30342957,39400759,53948417
Eastern and South-Eastern Asia,1832,14465509,30053666,41409235
Latin America and the Caribbean,1830,14438417,32980368,48269815
Oceania (excluding Australia and New Zealand),1835,239718,370635,492013
Australia/New Zealand,1836,580043,982983,1110490
Europe and Northern America,1829,51666993,54529079,65535293
More developed regions,901,52957819,56421274,67653956
Less developed regions,902,87886589,145569003,214302243
Least developed countries,941,27435009,32392176,55077813
"Less developed regions, excluding least developed countries",934,60451580,113176827,159224430
"Less developed regions, excluding China",948,82863656,135067900,200378620
Land-locked Developing Countries (LLDC),1636,24230881,26019291,35204570
Small Island Developing States (SIDS),1637,4758273,8502622,11966357
High-and-upper-middle-income countries,5503,81754405,116731625,134002869
Low-and-Lower-middle-income countries,5504,58659599,84484855,139360886
High-income countries,1503,35523301,44410942,50882892
Low-and-middle-income countries,1859,104890703,156805538,222480863
Middle-income countries,1517,86630477,137956115,181368098
Upper-middle-income countries,1502,46231104,72320683,83119977
Lower-middle-income countries,1501,40399373,65635432,98248121
Low-income countries,1500,18260226,18849423,41112765
No income group available,1518,422894,763515,8580070
AFRICA,903,19677870,27829220,45750673
Eastern Africa,910,7092040,6697584,13218873
Burundi,108,342568,290788,576530
Comoros,174,32522,111510,367574
Djibouti,262,1963,2577,3576
Eritrea,232,156294,283312,912792
Ethiopia,231,1630810,666181,1240645
Kenya,404,238008,390142,540466
Madagascar,450,82170,156279,212455
Malawi,454,138206,259343,427573
Mauritius,480,64202,102296,114314
Mayotte,175,1835,6336,6960
Mozambique,508,1989048,655516,702796
Réunion,638,3903,2425,2357
Rwanda,646,584280,334656,539046
Seychelles,690,10497,20399,22191
Somalia,706,599233,1237640,1935594
South Sudan,728,479199,321713,3168836
Uganda,800,247275,582479,578034
United Republic of Tanzania,834,194717,208185,225017
Zambia,894,73861,134473,122793
Zimbabwe,716,221449,931334,1519324
Middle Africa,911,1771850,2775253,4792635
Angola,24,799084,579968,616967
Cameroon,120,92391,214405,409677
Central African Republic,140,37143,228473,905808
Chad,148,329970,191459,292298
Congo,178,64367,169150,231080
Democratic Republic of the Congo,180,393133,1242847,2097387
Equatorial Guinea,226,27829,83286,136825
Gabon,266,14265,36042,61160
Sao Tome and Principe,678,13668,29623,41433
Northern Africa,912,5553208,9585925,15089063
Algeria,12,1458505,1604582,1780399
Egypt,818,1630728,3213308,4820002
Libya,434,78841,99826,156874
Morocco,504,1297857,2733747,3627829
Sudan,729,465978,1194477,3786603
Tunisia,788,453179,569831,715249
Western Sahara,732,168120,170154,202107
Southern Africa,913,526813,969080,1321401
Botswana,72,23982,19869,16731
Eswatini,748,31331,37292,11561
