rank,country,points,iso3,population_latest,diaspora_2024,diaspora_per_capita,is_uk_constituent
1,France,1877.32,FRA,68551653,2547158,0.03715676994688954,FALSE
2,Spain,1876.4,ESP,48848840,1623550,0.033236203766558226,FALSE
3,Argentina,1874.81,ARG,45696159,1183381,0.0258967279941406,FALSE
4,England,1825.97,ENG,57106400,NA,NA,TRUE
5,Portugal,1763.83,PRT,10694681,1799179,0.16823119829380606,FALSE
6,Brazil,1761.16,BRA,211998573,2194325,0.010350659294296287,FALSE
7,Netherlands,1757.87,NLD,17993485,631391,0.03508997840051552,FALSE
8,Morocco,1755.87,MAR,38081173,3627829,0.09526568417417185,FALSE
9,Belgium,1734.71,BEL,11858610,521884,0.04400886781840367,FALSE
10,Germany,1730.37,DEU,83516593,4297233,0.051453643469388174,FALSE
11,Croatia,1717.07,HRV,3866200,826166,0.21368941079095752,FALSE
12,Italy,1700.37,ITA,58952704,2941444,0.04989498022007608,FALSE
13,Colombia,1693.09,COL,52886363,3652238,0.06905821827831118,FALSE
14,Senegal,1688.99,SEN,18501984,741357,0.04006905421602353,FALSE
15,Mexico,1681.03,MEX,130861007,11596529,0.08861714628254388,FALSE
16,USA,1673.13,USA,340110988,3186999,0.009370467619234931,FALSE
17,Uruguay,1673.07,URY,3386588,263285,0.07774343970982003,FALSE
18,Japan,1660.43,JPN,123975371,1008173,0.008132042613528456,FALSE
19,Switzerland,1649.4,CHE,9005582,512547,0.05691436711142045,FALSE
20,Denmark,1620.81,DNK,5976992,124665,0.02085748148901655,FALSE
21,IR Iran,1615.3,IRN,91567738,1733468,0.018930990738244512,FALSE
22,Türkiye,1599.04,TUR,85518661,3130337,0.036604139533943356,FALSE
23,Ecuador,1594.78,ECU,18135478,1243065,0.0685432719225818,FALSE
24,Austria,1593.45,AUT,9177982,430560,0.04691227330801041,FALSE
25,Korea Republic,1588.66,KOR,51751065,2030473,0.03923538578384812,FALSE
26,Nigeria,1585.09,NGA,232679478,2094265,0.009000643365720462,FALSE
27,Australia,1580.67,AUS,27196812,430718,0.015837076786793983,FALSE
28,Algeria,1564.26,DZA,46814308,1780399,0.03803108656438967,FALSE
29,Egypt,1563.24,EGY,116538258,4820002,0.041359825371681806,FALSE
30,Canada,1556.48,CAN,41288599,1347381,0.03263324580230974,FALSE
31,Norway,1550.94,NOR,5572279,120891,0.02169507305718181,FALSE
