spec,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n,r2,adj_r2
G1,(Intercept),341.6448127360525,24.779228697348465,13.787548309468189,7.772183977003208e-31,292.78274524319005,390.5068802289149,202,0.3160115883822908,0.31259164632420233
G1,log_pop,-15.150665798976162,1.5761211180502726,-9.61262787831824,3.1722604400761428e-18,-18.258613079649148,-12.042718518303177,202,0.3160115883822908,0.31259164632420233
G2,(Intercept),338.73168674713315,24.80494298540984,13.655813962014493,2.1673650274436746e-30,289.8174170972626,387.6459563970037,202,0.32276107572981344,0.3159546543803643
G2,log_pop,-15.751966424175377,1.6292055423418303,-9.66849548125978,2.2621039528633435e-18,-18.964688955327574,-12.53924389302318,202,0.32276107572981344,0.3159546543803643
G2,log_dia_pc,-4.155315327091593,2.9506181499239514,-1.4082863711791005,0.16060666078809366,-9.973806097422127,1.6631754432389414,202,0.32276107572981344,0.3159546543803643
G3,(Intercept),373.9839256457016,64.61280388644815,5.7880776432941765,2.7526846985528048e-8,246.56634708961582,501.4015042017874,202,0.32395379536625035,0.31371067105361783
G3,log_pop,-18.12187949192739,4.329113807085246,-4.18604829983176,4.267660939765607e-5,-26.658967583042,-9.584791400812785,202,0.32395379536625035,0.31371067105361783
G3,log_dia_pc,7.075140955185875,19.229792893798265,0.3679260090974591,0.713321421927028,-30.84634672655684,44.996628636928584,202,0.32395379536625035,0.31371067105361783
G3,log_pop:log_dia_pc,-0.7453404461841189,1.261075530044637,-0.5910355315178757,0.5551707037893236,-3.2322034323038356,1.7415225399355976,202,0.32395379536625035,0.31371067105361783
G4,(Intercept),338.73168674713315,24.80494298540984,13.655813962014493,2.1673650274436746e-30,289.8174170972626,387.6459563970037,202,0.32276107572981344,0.3159546543803643
G4,log_pop,-15.751966424175377,1.6292055423418303,-9.66849548125978,2.2621039528633435e-18,-18.964688955327574,-12.53924389302318,202,0.32276107572981344,0.3159546543803643
G4,log_dia_pc,-4.155315327091593,2.9506181499239514,-1.4082863711791005,0.16060666078809366,-9.973806097422127,1.6631754432389414,202,0.32276107572981344,0.3159546543803643
G4,log_dia,NA,NA,NA,NA,NA,NA,202,0.32276107572981344,0.3159546543803643
