country,iso3,rank,rank_pred,residual,population_latest,diaspora_2024,diaspora_per_capita
Uruguay,URY,17,112.50971130685659,-95.50971130685659,3386588,263285,0.07774343970982003
Croatia,HRV,11,106.22189760279265,-95.22189760279265,3866200,826166,0.21368941079095752
Denmark,DNK,20,109.02826016745846,-89.02826016745846,5976992,124665,0.02085748148901655
Portugal,PRT,5,91.18856156159566,-86.18856156159566,10694681,1799179,0.16823119829380606
Belgium,BEL,9,95.13332461850844,-86.13332461850844,11858610,521884,0.04400886781840367
Netherlands,NLD,7,89.50653205944927,-82.50653205944927,17993485,631391,0.03508997840051552
Curacao,CUW,82,161.75144475687253,-79.75144475687253,155967,10103,0.06477652323889027
Switzerland,CHE,19,98.39984968517338,-79.39984968517338,9005582,512547,0.05691436711142045
Norway,NOR,31,109.96907752951103,-78.96907752951103,5572279,120891,0.02169507305718181
Panama,PAN,33,110.42474264258952,-77.42474264258952,4515577,194816,0.0431431021993424
Austria,AUT,24,98.90424057865967,-74.90424057865967,9177982,430560,0.04691227330801041
Senegal,SEN,14,88.51618918357102,-74.51618918357102,18501984,741357,0.04006905421602353
Argentina,ARG,3,76.08800891013881,-73.08800891013881,45696159,1183381,0.0258967279941406
Iceland,ISL,75,147.75054693589925,-72.75054693589925,386506,23326,0.06035093892462213
Spain,ESP,2,74.00024736160269,-72.00024736160269,48848840,1623550,0.03323620376655822
Qatar,QAT,55,125.22609786888478,-70.22609786888478,2857822,19821,0.00693570138378107
Cabo Verde,CPV,69,136.56951813733562,-67.56951813733562,524877,146396,0.27891486957896805
France,FRA,1,68.19924149854126,-67.19924149854126,68551653,2547158,0.03715676994688954
Morocco,MAR,8,73.54698295924459,-65.54698295924459,38081173,3627829,0.09526568417417185
Slovenia,SVN,58,122.91348874328897,-64.91348874328897,2127400,78808,0.03704427940208706
Ecuador,ECU,23,86.60052553893829,-63.600525538938285,18135478,1243065,0.0685432719225818
Costa Rica,CRI,51,114.51607483282565,-63.51607483282565,5129910,50982,0.00993818605004766
Sweden,SWE,38,99.99135716859173,-61.99135716859173,10569709,223508,0.02114608831709558
Serbia,SRB,39,99.40566562315648,-60.40566562315648,6586476,963307,0.14625529645898658
