iso2,iso3,country,year,population
AL,ALB,Albania,2010,2913021
AL,ALB,Albania,2011,2905195
AL,ALB,Albania,2012,2860708
AL,ALB,Albania,2013,2816902
AL,ALB,Albania,2014,2773767
AL,ALB,Albania,2015,2731293
AL,ALB,Albania,2016,2689469
AL,ALB,Albania,2017,2648285
AL,ALB,Albania,2018,2607733
AL,ALB,Albania,2019,2567801
AL,ALB,Albania,2020,2528480
AL,ALB,Albania,2021,2489762
AL,ALB,Albania,2022,2451636
AL,ALB,Albania,2023,2414095
AL,ALB,Albania,2024,2377128
CV,CPV,Cabo Verde,2010,509784
CV,CPV,Cabo Verde,2011,511447
CV,CPV,Cabo Verde,2012,511955
CV,CPV,Cabo Verde,2013,512225
CV,CPV,Cabo Verde,2014,512326
CV,CPV,Cabo Verde,2015,512394
CV,CPV,Cabo Verde,2016,512554
CV,CPV,Cabo Verde,2017,512893
CV,CPV,Cabo Verde,2018,513415
CV,CPV,Cabo Verde,2019,514104
CV,CPV,Cabo Verde,2020,514679
CV,CPV,Cabo Verde,2021,516649
CV,CPV,Cabo Verde,2022,519741
CV,CPV,Cabo Verde,2023,522331
CV,CPV,Cabo Verde,2024,524877
CW,CUW,Curacao,2010,148703
CW,CUW,Curacao,2011,150831
CW,CUW,Curacao,2012,152088
CW,CUW,Curacao,2013,153822
CW,CUW,Curacao,2014,155909
CW,CUW,Curacao,2015,157980
CW,CUW,Curacao,2016,159664
CW,CUW,Curacao,2017,160175
CW,CUW,Curacao,2018,159336
CW,CUW,Curacao,2019,157441
CW,CUW,Curacao,2020,155482
CW,CUW,Curacao,2021,153948
CW,CUW,Curacao,2022,153321
CW,CUW,Curacao,2023,154654
CW,CUW,Curacao,2024,155967
HT,HTI,Haiti,2010,9803294
HT,HTI,Haiti,2011,9914904
HT,HTI,Haiti,2012,10069771
HT,HTI,Haiti,2013,10222362
HT,HTI,Haiti,2014,10373235
HT,HTI,Haiti,2015,10523242
HT,HTI,Haiti,2016,10671457
HT,HTI,Haiti,2017,10817754
HT,HTI,Haiti,2018,10962362
HT,HTI,Haiti,2019,11105163
HT,HTI,Haiti,2020,11243848
HT,HTI,Haiti,2021,11374586
HT,HTI,Haiti,2022,11503606
HT,HTI,Haiti,2023,11637398
HT,HTI,Haiti,2024,11772557
IS,ISL,Iceland,2010,318041
IS,ISL,Iceland,2011,319014
IS,ISL,Iceland,2012,320716
IS,ISL,Iceland,2013,323764
IS,ISL,Iceland,2014,327386
IS,ISL,Iceland,2015,330815
IS,ISL,Iceland,2016,335439
IS,ISL,Iceland,2017,343400
IS,ISL,Iceland,2018,352721
IS,ISL,Iceland,2019,360563
IS,ISL,Iceland,2020,366463
IS,ISL,Iceland,2021,372520
IS,ISL,Iceland,2022,382003
IS,ISL,Iceland,2023,385663
IS,ISL,Iceland,2024,386506
JM,JAM,Jamaica,2010,2748568
JM,JAM,Jamaica,2011,2760494
JM,JAM,Jamaica,2012,2772430
JM,JAM,Jamaica,2013,2783687
JM,JAM,Jamaica,2014,2793749
JM,JAM,Jamaica,2015,2802534
JM,JAM,Jamaica,2016,2809915
JM,JAM,Jamaica,2017,2815764
JM,JAM,Jamaica,2018,2820097
JM,JAM,Jamaica,2019,2823271
JM,JAM,Jamaica,2020,2830739
JM,JAM,Jamaica,2021,2837682
JM,JAM,Jamaica,2022,2839144
JM,JAM,Jamaica,2023,2839786
JM,JAM,Jamaica,2024,2839175
LU,LUX,Luxembourg,2010,506953
LU,LUX,Luxembourg,2011,518347
LU,LUX,Luxembourg,2012,530946
LU,LUX,Luxembourg,2013,543360
LU,LUX,Luxembourg,2014,556319
LU,LUX,Luxembourg,2015,569604
LU,LUX,Luxembourg,2016,582014
LU,LUX,Luxembourg,2017,596336
LU,LUX,Luxembourg,2018,607950
LU,LUX,Luxembourg,2019,620001
LU,LUX,Luxembourg,2020,630419
LU,LUX,Luxembourg,2021,640064
LU,LUX,Luxembourg,2022,653103
LU,LUX,Luxembourg,2023,666430
LU,LUX,Luxembourg,2024,677012
MT,MLT,Malta,2010,414508
MT,MLT,Malta,2011,416268
MT,MLT,Malta,2012,420028
MT,MLT,Malta,2013,424810
MT,MLT,Malta,2014,433481
MT,MLT,Malta,2015,444220
MT,MLT,Malta,2016,454505
MT,MLT,Malta,2017,467106
MT,MLT,Malta,2018,483903
MT,MLT,Malta,2019,503912
MT,MLT,Malta,2020,515490
MT,MLT,Malta,2021,518150
MT,MLT,Malta,2022,531113
MT,MLT,Malta,2023,552747
MT,MLT,Malta,2024,568847
ME,MNE,Montenegro,2010,619428
ME,MNE,Montenegro,2011,620345
ME,MNE,Montenegro,2012,621418
ME,MNE,Montenegro,2013,622587
ME,MNE,Montenegro,2014,623744
ME,MNE,Montenegro,2015,624651
ME,MNE,Montenegro,2016,625353
ME,MNE,Montenegro,2017,625982
ME,MNE,Montenegro,2018,626438
ME,MNE,Montenegro,2019,626753
ME,MNE,Montenegro,2020,626590
ME,MNE,Montenegro,2021,625053
ME,MNE,Montenegro,2022,623591
ME,MNE,Montenegro,2023,623529
ME,MNE,Montenegro,2024,623525
MK,MKD,North Macedonia,2010,1946298
MK,MKD,North Macedonia,2011,1937398
MK,MKD,North Macedonia,2012,1929821
MK,MKD,North Macedonia,2013,1922716
MK,MKD,North Macedonia,2014,1917557
MK,MKD,North Macedonia,2015,1912430
MK,MKD,North Macedonia,2016,1906313
MK,MKD,North Macedonia,2017,1898657
MK,MKD,North Macedonia,2018,1889051
MK,MKD,North Macedonia,2019,1876262
MK,MKD,North Macedonia,2020,1856124
MK,MKD,North Macedonia,2021,1837114
MK,MKD,North Macedonia,2022,1831712
MK,MKD,North Macedonia,2023,1827816
MK,MKD,North Macedonia,2024,1824359
PA,PAN,Panama,2010,3628535
PA,PAN,Panama,2011,3693505
PA,PAN,Panama,2012,3759256
PA,PAN,Panama,2013,3825329
PA,PAN,Panama,2014,3892101
PA,PAN,Panama,2015,3960035
PA,PAN,Panama,2016,4029086
PA,PAN,Panama,2017,4098707
PA,PAN,Panama,2018,4167860
PA,PAN,Panama,2019,4234700
PA,PAN,Panama,2020,4293261
PA,PAN,Panama,2021,4345405
PA,PAN,Panama,2022,4400773
PA,PAN,Panama,2023,4458759
PA,PAN,Panama,2024,4515577
SR,SUR,Suriname,2010,549923
SR,SUR,Suriname,2011,556269
SR,SUR,Suriname,2012,562633
SR,SUR,Suriname,2013,569020
SR,SUR,Suriname,2014,575373
SR,SUR,Suriname,2015,581627
SR,SUR,Suriname,2016,587757
SR,SUR,Suriname,2017,593713
SR,SUR,Suriname,2018,599513
SR,SUR,Suriname,2019,605768
SR,SUR,Suriname,2020,612317
SR,SUR,Suriname,2021,617896
SR,SUR,Suriname,2022,623164
SR,SUR,Suriname,2023,628886
SR,SUR,Suriname,2024,634431
TT,TTO,Trinidad and Tobago,2010,1317714
TT,TTO,Trinidad and Tobago,2011,1328019
TT,TTO,Trinidad and Tobago,2012,1335194
TT,TTO,Trinidad and Tobago,2013,1340557
TT,TTO,Trinidad and Tobago,2014,1345343
TT,TTO,Trinidad and Tobago,2015,1349667
TT,TTO,Trinidad and Tobago,2016,1353895
TT,TTO,Trinidad and Tobago,2017,1356633
TT,TTO,Trinidad and Tobago,2018,1359193
TT,TTO,Trinidad and Tobago,2019,1363985
TT,TTO,Trinidad and Tobago,2020,1366725
TT,TTO,Trinidad and Tobago,2021,1367558
TT,TTO,Trinidad and Tobago,2022,1365805
TT,TTO,Trinidad and Tobago,2023,1367510
TT,TTO,Trinidad and Tobago,2024,1368333
