iso3,country,role,confederation,residents,ratio_un,ratio_heritage,total_value_mil,median_value_mil,n_valued,n_players,rank,points,rank_avg12,points_avg12,log_squad_value
CUW,Curaçao,case,CONCACAF,148925,0.5774718818197079,0.564042303172738,28.73,NA,26,26,82,1294.65,82,1294.65,3.3579418729911983
CPV,Cabo Verde,comparator,CAF,524877,0.369610403961309,1.4289062008813491,44.85,NA,36,36,69,1366.13,69,1366.13,3.803323588504805
ALB,Albania,comparator,UEFA,2761785,0.43703619217281575,0.6155439326377687,81.75,NA,23,23,64,1388.06,64,1388.06,4.403665809777363
SUR,Suriname,comparator,CONCACAF,623236,0.31448760982998414,0.5776303037693586,37.7,NA,26,26,125,1132.43,125,1132.43,3.629660094453965
ISL,Iceland,reference,UEFA,387758,0.12636747662201683,NA,74.03,NA,23,23,75,1345.07,75,1345.07,4.304470416455007
MLT,Malta,reference,UEFA,545405,0.22185348502488977,NA,14.35,NA,27,27,161,987.73,161,987.73,2.66374994220563
LUX,Luxembourg,reference,UEFA,672050,0.124990700096719,NA,32.9,NA,24,24,98,1227.77,98,1227.77,3.493472657771326
MNE,Montenegro,reference,UEFA,616969,0.21881164207602,NA,60.13,NA,26,26,81,1295.52,81,1295.52,4.0965088850514775
MKD,North Macedonia,reference,UEFA,1832700,0.3590331205325476,NA,38.7,NA,26,26,67,1372.04,67,1372.04,3.655839600035736
JAM,Jamaica,reference,CONCACAF,2828000,0.39603960396039606,NA,53.78,NA,27,27,71,1358,71,1358,3.9849016508407185
TTO,Trinidad and Tobago,reference,CONCACAF,1534937,0.25343059682579805,NA,10.08,NA,25,25,102,1222.94,102,1222.94,2.3105532626432224
PAN,Panama,reference,CONCACAF,4470000,0.03378076062639821,NA,32.4,NA,23,23,33,1540.64,33,1540.64,3.4781584227982836
HTI,Haiti,reference,CONCACAF,11470000,0.15605928509154315,NA,55.35,NA,25,25,83,1291.71,83,1291.71,4.013676659154646
