country,iso3,role,confederation,residents,ratio_un,ratio_heritage,total_value_mil,rank,rank_pred_m1,residual_m1
Malta,MLT,reference,UEFA,545405,0.22185348502488977,NA,14.35,161,112.65100565660381,48.348994343396186
Suriname,SUR,comparator,CONCACAF,623236,0.31448760982998414,0.5776303037693586,37.7,125,85.48391290692135,39.51608709307865
Luxembourg,LUX,reference,UEFA,672050,0.124990700096719,NA,32.9,98,89.31430718850825,8.685692811491748
Montenegro,MNE,reference,UEFA,616969,0.21881164207602,NA,60.13,81,72.35337031482015,8.646629685179846
Iceland,ISL,reference,UEFA,387758,0.12636747662201683,NA,74.03,75,66.504264992907,8.495735007093003
Haiti,HTI,reference,CONCACAF,11470000,0.15605928509154315,NA,55.35,83,74.68310125135069,8.316898748649308
Albania,ALB,comparator,UEFA,2761785,0.43703619217281575,0.6155439326377687,81.75,64,63.714305238931004,0.2856947610689957
Jamaica,JAM,reference,CONCACAF,2828000,0.39603960396039606,NA,53.78,71,75.49242426956074,-4.492424269560743
Curaçao,CUW,case,CONCACAF,148925,0.5774718818197079,0.564042303172738,28.73,82,93.12623254407937,-11.126232544079372
Cabo Verde,CPV,comparator,CAF,524877,0.369610403961309,1.4289062008813491,44.85,69,80.5994707679385,-11.599470767938499
North Macedonia,MKD,reference,UEFA,1832700,0.3590331205325476,NA,38.7,67,84.74759074007663,-17.74759074007663
Trinidad and Tobago,TTO,reference,CONCACAF,1534937,0.25343059682579805,NA,10.08,102,122.58498029204678,-20.58498029204678
Panama,PAN,reference,CONCACAF,4470000,0.03378076062639821,NA,32.4,33,89.74503383625563,-56.74503383625563
